Участок,Позиция запорной арматуры,Конструктивное исполнение,Тип арматуры (запорная/ Регулирующая),Тип привода,Позиция трубы,Условный диаметр трубы DN,"Условное давление рабочей среды PN, бар",Материал трубы,Среда,Датчик положения,Тип пневмораспределителя,Положение при аварийном отключении (НЗ/НО/БИ),ШПУ,"Расход воздуха на 1 операцию, л.",Ø и резьба пневмоприсоединения,Кол-во ответных фитингов,"Ø пневмотрубки, мм",Тип концевого выключателя,Тип позиционера,Описание устройства,Категория,PLC,Ex-исполнение,Описание (ТЕМП),Операция,Примечание,,,,
Центробежная сепарация,0206.002-BY-206,Поворотная заслонка/дисковый затвор,Запорная,Ручной,-,125,10,сталь (Ст. 20 или Ст.3 кп),Оборотная вода,-,,-,,,,,,,,,,,НЕТ,Подача оборотной воды на грохот 0206.002-SC-201,Подача оборотной воды на грохот 0206.002-SC-201,,,,,
Центробежная сепарация,0206.002-BY-207,Поворотная заслонка/дисковый затвор,Запорная,Ручной,-,125,10,сталь (Ст. 20 или Ст.3 кп),Оборотная вода,-,,-,,,,,,,,,,,НЕТ,Подача оборотной воды на грохот 0206.002-SC-201,Подача оборотной воды на грохот 0206.002-SC-201,,,,,
Центробежная сепарация,0206.002-BY-208,Поворотная заслонка/дисковый затвор,Регулирующая,Пневмопривод,-,125,10,сталь (Ст. 20 или Ст.3 кп),Оборотная вода,+,Порт коллектора,Без изменений,0206.602-CPC02,"7,6","G 1/4""",1,10,-,Tissin/ TS800RN35S1M,"Smart Positioner, input signal: 4-20mA, -30~85℃, non-explosion proof, with 4-20mA feedback, without HART protocol, with mechanical type limit switch, NPT 1/4 air connection, NPT 1/2 cable entry, IP66",Пневмо ЗРА-CV,2.1,НЕТ,Подача оборотной воды на грохот 0206.002-SC-201,Подача оборотной воды на грохот 0206.002-SC-201,,,,,
Центробежная сепарация,0206.002-BY-209,Поворотная заслонка/дисковый затвор,Запорная,Ручной,-,125,10,сталь (Ст. 20 или Ст.3 кп),Оборотная вода,-,,-,,,,,,,,,,,НЕТ,Подача оборотной воды на грохот 0206.002-SC-202,Подача оборотной воды на грохот 0206.002-SC-202,,,,,
Центробежная сепарация,0206.002-BY-210,Поворотная заслонка/дисковый затвор,Запорная,Ручной,-,125,10,сталь (Ст. 20 или Ст.3 кп),Оборотная вода,-,,-,,,,,,,,,,,НЕТ,Подача оборотной воды на грохот 0206.002-SC-202,Подача оборотной воды на грохот 0206.002-SC-202,,,,,
Центробежная сепарация,0206.002-BY-211,Поворотная заслонка/дисковый затвор,Запорная,Ручной,-,125,10,сталь (Ст. 20 или Ст.3 кп),Оборотная вода,-,,-,,,,,,,,,,,НЕТ,Подача оборотной воды на грохот 0206.002-SC-202,Подача оборотной воды на грохот 0206.002-SC-202,,,,,
Центробежная сепарация,0206.002-BY-212,Поворотная заслонка/дисковый затвор,Регулирующая,Пневмопривод,-,125,10,сталь (Ст. 20 или Ст.3 кп),Оборотная вода,+,Порт коллектора,Без изменений,0206.602-CPC02,"7,6","G 1/4""",1,10,-,Tissin/ TS800RN35S1M,"Smart Positioner, input signal: 4-20mA, -30~85℃, non-explosion proof, with 4-20mA feedback, without HART protocol, with mechanical type limit switch, NPT 1/4 air connection, NPT 1/2 cable entry, IP66",Пневмо ЗРА-CV,2.1,НЕТ,Подача оборотной воды на грохот 0206.002-SC-202,Подача оборотной воды на грохот 0206.002-SC-202,,,,,
Центробежная сепарация,0206.002-BY-213,Поворотная заслонка/дисковый затвор,Запорная,Ручной,206.002-PP-246-050-LBA,50,10,сталь (Ст. 20 или Ст.3 кп),Пульпа,-,,-,,,,,,,,,,,НЕТ,Линия датчика давления на нагнетании насосов 0206.002-PU-201/202,Линия датчика давления на нагнетании насосов 0206.002-PU-201/202,,,,,
Центробежная сепарация,0206.002-BY-214,Поворотная заслонка/дисковый затвор,Запорная,Ручной,206.002-PP-262-050-LPA,44,10,сталь (Ст. 20 или Ст.3 кп),Пульпа,-,,-,,,,,,,,,,,НЕТ,Линия датчика давления на нагнетании насосов 0206.002-PU-206/207,Линия датчика давления на нагнетании насосов 0206.002-PU-206/207,,,,,
Центробежная сепарация,0206.002-GB-201,Соленоидный клапан,Запорная,Соленоидный клапан,-,20,10,сталь (марку стали определяет ВК),Фильтрованная вода,-,,Без изменений,,,,,,,,,Клапан ГУ,2.1,НЕТ,Фильтрованная вода на гидроуплотнение 0206.002-PU-201,Фильтрованная вода на гидроуплотнение 0206.002-PU-201,,,,,
Центробежная сепарация,0206.002-GB-202,Соленоидный клапан,Запорная,Соленоидный клапан,-,20,10,сталь (марку стали определяет ВК),Фильтрованная вода,-,,Без изменений,,,,,,,,,Клапан ГУ,2.1,НЕТ,Фильтрованная вода на гидроуплотнение 0206.002-PU-202,Фильтрованная вода на гидроуплотнение 0206.002-PU-202,,,,,
Центробежная сепарация,0206.002-GB-206,Соленоидный клапан,Запорная,Соленоидный клапан,-,16,10,сталь (марку стали определяет ВК),Фильтрованная вода,-,,Без изменений,,,,,,,,,Клапан ГУ,2.1,НЕТ,Фильтрованная вода на гидроуплотнение 0206.002-PU-206,Фильтрованная вода на гидроуплотнение 0206.002-PU-206,,,,,
Центробежная сепарация,0206.002-GB-207,Соленоидный клапан,Запорная,Соленоидный клапан,-,16,10,сталь (марку стали определяет ВК),Фильтрованная вода,-,,Без изменений,,,,,,,,,Клапан ГУ,2.1,НЕТ,Фильтрованная вода на гидроуплотнение 0206.002-PU-207,Фильтрованная вода на гидроуплотнение 0206.002-PU-207,,,,,
Сгущение Cu-концентрата,0206.005-BV-101,Шаровый кран,Запорная,Ручной,-,25,10,углеродистая сталь.Ст. 20 или Ст.3 кп,Оборотная вода,-,,,,,,,,,,,,,НЕТ,Подача оборотной воды на промывку трубы 206.005-PP-103-065-LBA,Подача оборотной воды на промывку трубы  206.005-PP-103-065-LBA,Подключение шланга для промывки,,,,
Сгущение Cu-концентрата,0206.005-BV-102,Шаровый кран,Запорная,Ручной,-,25,10,углеродистая сталь.Ст. 20 или Ст.3 кп,Оборотная вода,-,,,,,,,,,,,,,НЕТ,Подача оборотной воды на промывку трубы 206.005-PP-103-065-LBA,Подача оборотной воды на промывку трубы  206.005-PP-103-065-LBA,Подключение шланга для промывки,,,,
Сгущение Cu-концентрата,0206.005-BV-103,Шаровый кран,Запорная,Ручной,-,50,10,углеродистая сталь.Ст. 20 или Ст.3 кп,Оборотная вода,-,,-,,,,,,,,,,,НЕТ,Подача оборотной воды на промывку всаса насоса 0206.005-PU-101,Подача оборотной воды на промывку всаса насоса 0206.005-PU-101,,,,,
Сгущение Cu-концентрата,0206.005-BV-104,Шаровый кран,Запорная,Ручной,-,50,10,углеродистая сталь.Ст. 20 или Ст.3 кп,Оборотная вода,-,,-,,,,,,,,,,,НЕТ,Подача оборотной воды на промывку всаса насоса 0206.005-PU-101,Подача оборотной воды на промывку всаса насоса 0206.005-PU-101,,,,,
Сгущение Cu-концентрата,0206.005-BV-105,Шаровый кран,Запорная,Ручной,-,50,10,углеродистая сталь.Ст. 20 или Ст.3 кп,Оборотная вода,-,,-,,,,,,,,,,,НЕТ,Подача оборотной воды на промывку всаса насоса 0206.005-PU-102,Подача оборотной воды на промывку всаса насоса 0206.005-PU-102,,,,,
Сгущение Cu-концентрата,0206.005-BV-106,Шаровый кран,Запорная,Ручной,-,50,10,углеродистая сталь.Ст. 20 или Ст.3 кп,Оборотная вода,-,,-,,,,,,,,,,,НЕТ,Подача оборотной воды на промывку всаса насоса 0206.005-PU-102,Подача оборотной воды на промывку всаса насоса 0206.005-PU-102,,,,,
Сгущение Cu-концентрата,0206.005-BV-107,Шаровый кран,Запорная,Пневмопривод,-,50,10,углеродистая сталь.Ст. 20 или Ст.3 кп,Оборотная вода,+,5/2 МС,Нормально закрыт,0206.605-CPC01,"40,0","G 1/4""",2,10,P+F/ NBN4-12GM40-Z0+APL-320,-,"2 wires, Normally open, DC 24V, inductive distance 8mm, -25~70 ℃, non-explosion proof, IP67, Cable Length: 2 m",Пневмо ЗРА-НЗ,0.1,НЕТ,Подача оборотной воды на промывку всаса насоса 0206.005-PU-101,Подача оборотной воды на промывку всаса насоса 0206.005-PU-101,,,,,
Сгущение Cu-концентрата,0206.005-BV-108,Шаровый кран,Запорная,Пневмопривод,-,50,10,углеродистая сталь.Ст. 20 или Ст.3 кп,Оборотная вода,+,5/2 МС,Нормально закрыт,0206.605-CPC01,"40,0","G 1/4""",2,10,P+F/ NBN4-12GM40-Z0+APL-320,-,"2 wires, Normally open, DC 24V, inductive distance 8mm, -25~70 ℃, non-explosion proof, IP67, Cable Length: 2 m",Пневмо ЗРА-НЗ,0.1,НЕТ,Подача оборотной воды на промывку всаса насоса 0206.005-PU-101,Подача оборотной воды на промывку всаса насоса 0206.005-PU-101,,,,,
Сгущение Cu-концентрата,0206.005-BV-109,Шаровый кран,Запорная,Пневмопривод,-,50,10,углеродистая сталь.Ст. 20 или Ст.3 кп,Оборотная вода,+,5/2 МС,Нормально закрыт,0206.605-CPC01,"40,0","G 1/4""",2,10,P+F/ NBN4-12GM40-Z0+APL-320,-,"2 wires, Normally open, DC 24V, inductive distance 8mm, -25~70 ℃, non-explosion proof, IP67, Cable Length: 2 m",Пневмо ЗРА-НЗ,0.1,НЕТ,Подача оборотной воды на промывку всаса насоса 0206.005-PU-102,Подача оборотной воды на промывку всаса насоса 0206.005-PU-102,,,,,
Сгущение Cu-концентрата,0206.005-BV-110,Шаровый кран,Запорная,Пневмопривод,-,50,10,углеродистая сталь.Ст. 20 или Ст.3 кп,Оборотная вода,+,5/2 МС,Нормально закрыт,0206.605-CPC01,"40,0","G 1/4""",2,10,P+F/ NBN4-12GM40-Z0+APL-320,-,"2 wires, Normally open, DC 24V, inductive distance 8mm, -25~70 ℃, non-explosion proof, IP67, Cable Length: 2 m",Пневмо ЗРА-НЗ,0.1,НЕТ,Подача оборотной воды на промывку всаса насоса 0206.005-PU-102,Подача оборотной воды на промывку всаса насоса 0206.005-PU-102,,,,,
Сгущение Cu-концентрата,0206.005-BV-111,Шаровый кран,Запорная,Пневмопривод,-,50,10,углеродистая сталь.Ст. 20 или Ст.3 кп,Оборотная вода,+,5/2 МС,Нормально закрыт,0206.605-CPC01,"40,0","G 1/4""",2,10,P+F/ NBN4-12GM40-Z0+APL-320,-,"2 wires, Normally open, DC 24V, inductive distance 8mm, -25~70 ℃, non-explosion proof, IP67, Cable Length: 2 m",Пневмо ЗРА-НЗ,0.1,НЕТ,Подача оборотной воды на промывкутрубопровода 206.005-PP-110-050-LBA,Подача оборотной воды на промывкутрубопровода  206.005-PP-110-050-LBA,,,,,
Сгущение Cu-концентрата,0206.005-BV-112,Шаровый кран,Запорная,Ручной,-,50,10,углеродистая сталь.Ст. 20 или Ст.3 кп,Оборотная вода,-,,-,,,,,,,,,,,НЕТ,Подача оборотной воды на промывкутрубопровода 206.005-PP-110-050-LBA,Подача оборотной воды на промывкутрубопровода  206.005-PP-110-050-LBA,,,,,
Сгущение Cu-концентрата,0206.005-BV-113,Шаровый кран,Запорная,Ручной,-,,10,-,Оборотная вода,-,,-,,,,,,,,,,,,Отвод трубопровода для датчика давления,Отвод трубопровода для датчика давления,,,,,
Сгущение Cu-концентрата,0206.005-BV-014,Шаровый кран,Запорная,Ручной,-,"кран шаровой трехходовой с продувкой c наружной Rc1/2 и внутренней М20х1,5 резьбами",10,-,Оборотная вода,-,,-,,,,,,,,,,,,Отвод трубопровода для датчика давления,Отвод трубопровода для датчика давления,Заказана в ТХ.СО 12002-81-020600-ТХ.ОЛ4 (от 09.2024),,,,
Сгущение Cu-концентрата,0206.005-KV-101,Шиберно-ножевая задвижка,Запорная,Ручной,206.005-PP-104-065-LBA,65,10,сталь гуммированная каучуком;  Ст. 20 или Ст.3 кп,Сгущенный Cu концентрат,+,,-,,,,,,P+F/ NBN8-18GM40-Z0,-,"2 wires, Normally open, DC 24V, inductive distance 8mm, -25~70 ℃, non-explosion proof, IP67, Cable Length: 2 m",Ручная ЗРА,0.1,НЕТ,Всас насоса 0206.005-PU-102,Всас насоса 0206.005-PU-102,,,,,
Сгущение Cu-концентрата,0206.005-KV-102,Шиберно-ножевая задвижка,Запорная,Ручной,206.005-PP-103-065-LBA,65,10,сталь гуммированная каучуком;  Ст. 20 или Ст.3 кп,Сгущенный Cu концентрат,+,,-,,,,,,P+F/ NBN8-18GM40-Z0,-,"2 wires, Normally open, DC 24V, inductive distance 8mm, -25~70 ℃, non-explosion proof, IP67, Cable Length: 2 m",Ручная ЗРА,0.1,НЕТ,Всас насоса 0206.005-PU-101,Всас насоса 0206.005-PU-101,,,,,
Сгущение Cu-концентрата,0206.005-KV-103,Шиберно-ножевая задвижка,Запорная,Пневмопривод,206.005-PP-103-065-LBA,65,10,сталь гуммированная каучуком;  Ст. 20 или Ст.3 кп,Сгущенный Cu концентрат,+,5/3,Без изменений,0206.605-CPC01,"4,4","G 1/4""",2,10,P+F/ NBN8-18GM40-Z0,-,"2 wires, Normally open, DC 24V, inductive distance 8mm, -25~70 ℃, non-explosion proof, IP67, Cable Length: 2 m",Пневмо ЗРА-FL,0.1,НЕТ,Всас насоса 0206.005-PU-101,Всас насоса 0206.005-PU-101,,,,,
Сгущение Cu-концентрата,0206.005-KV-104,Шиберно-ножевая задвижка,Запорная,Пневмопривод,206.005-PP-108-050-LBA,50,10,сталь гуммированная каучуком;  Ст. 20 или Ст.3 кп,Сгущенный Cu концентрат,+,5/2 МС,Нормально закрыт,0206.605-CPC01,"6,2","G 1/4""",2,10,P+F/ NBN8-18GM40-Z0,-,"2 wires, Normally open, DC 24V, inductive distance 8mm, -25~70 ℃, non-explosion proof, IP67, Cable Length: 2 m",Пневмо ЗРА-НЗ,0.1,НЕТ,Дренаж трубопровода 206.005-PP-108-050-LBA,Дренаж трубопровода   206.005-PP-108-050-LBA,,,,,
Сгущение Cu-концентрата,0206.005-KV-105,Шиберно-ножевая задвижка,Запорная,Пневмопривод,206.005-PP-104-065-LBA,65,10,сталь гуммированная каучуком;  Ст. 20 или Ст.3 кп,Сгущенный Cu концентрат,+,5/3,Без изменений,0206.605-CPC01,"4,4","G 1/4""",2,10,P+F/ NBN8-18GM40-Z0,-,"2 wires, Normally open, DC 24V, inductive distance 8mm, -25~70 ℃, non-explosion proof, IP67, Cable Length: 2 m",Пневмо ЗРА-FL,0.1,НЕТ,Всас насоса 0206.005-PU-102,Всас насоса 0206.005-PU-102,,,,,
Сгущение Cu-концентрата,0206.005-KV-106,Шиберно-ножевая задвижка,Запорная,Пневмопривод,206.005-PP-109-050-LBA,50,10,сталь гуммированная каучуком;  Ст. 20 или Ст.3 кп,Сгущенный Cu концентрат,+,5/2 МС,Нормально закрыт,0206.605-CPC01,"6,2","G 1/4""",2,10,P+F/ NBN8-18GM40-Z0,-,"2 wires, Normally open, DC 24V, inductive distance 8mm, -25~70 ℃, non-explosion proof, IP67, Cable Length: 2 m",Пневмо ЗРА-НЗ,0.1,НЕТ,Дренаж трубопровода всаса насоса 0206.005-PU-102,Дренаж трубопровода всаса насоса 0206.005-PU-102,,,,,
Сгущение Cu-концентрата,0206.005-KV-107,Шиберно-ножевая задвижка,Запорная,Пневмопривод,206.005-PP-105-050-LBA,50,10,сталь гуммированная каучуком;  Ст. 20 или Ст.3 кп,Сгущенный Cu концентрат,+,5/3,Без изменений,0206.605-CPC01,"4,4","G 1/4""",2,10,P+F/ NBN8-18GM40-Z0,-,"2 wires, Normally open, DC 24V, inductive distance 8mm, -25~70 ℃, non-explosion proof, IP67, Cable Length: 2 m",Пневмо ЗРА-FL,0.1,НЕТ,Нагнетание насоса 0206.005-PU-101,Нагнетание насоса 0206.005-PU-101,,,,,
Сгущение Cu-концентрата,0206.005-KV-108,Шиберно-ножевая задвижка,Запорная,Пневмопривод,206.005-PP-106-050-LBA,50,10,сталь гуммированная каучуком;  Ст. 20 или Ст.3 кп,Сгущенный Cu концентрат,+,5/3,Без изменений,0206.605-CPC01,"4,4","G 1/4""",2,10,P+F/ NBN8-18GM40-Z0,-,"2 wires, Normally open, DC 24V, inductive distance 8mm, -25~70 ℃, non-explosion proof, IP67, Cable Length: 2 m",Пневмо ЗРА-FL,0.1,НЕТ,Нагнетание насоса 0206.005-PU-102,Нагнетание насоса 0206.005-PU-102,,,,,
Сгущение Cu-концентрата,0206.005-KV-109,Шиберно-ножевая задвижка,Запорная,Пневмопривод,206.005-PP-110-050-LBA,50,10,сталь гуммированная каучуком;  Ст. 20 или Ст.3 кп,Сгущенный Cu концентрат,+,5/3,Без изменений,0206.605-CPC01,"4,4","G 1/4""",2,10,P+F/ NBN8-18GM40-Z0,-,"2 wires, Normally open, DC 24V, inductive distance 8mm, -25~70 ℃, non-explosion proof, IP67, Cable Length: 2 m",Пневмо ЗРА-FL,0.1,НЕТ,Линия возврата в успокоительную коробку 0206.005-VB-101,Линия возврата в успокоительную коробку 0206.005-VB-101,,,,,
Сгущение Cu-концентрата,0206.005-KV-110,Шиберно-ножевая задвижка,Запорная,Пневмопривод,206.005-PP-113-050-LBA,50,10,сталь гуммированная каучуком;  Ст. 20 или Ст.3 кп,Сгущенный Cu концентрат,+,5/2 МС,Нормально закрыт,0206.605-CPC01,"6,2","G 1/4""",2,10,P+F/ NBN8-18GM40-Z0,-,"2 wires, Normally open, DC 24V, inductive distance 8mm, -25~70 ℃, non-explosion proof, IP67, Cable Length: 2 m",Пневмо ЗРА-НЗ,0.1,НЕТ,Дренаж трубопровода 206.005-PP-113-050-LBA,Дренаж трубопровода   206.005-PP-113-050-LBA,,,,,
Сгущение Cu-концентрата,0206.005-KV-111,Шиберно-ножевая задвижка,Запорная,Пневмопривод,206.005-PP-107-050-LBA,50,10,сталь гуммированная каучуком;  Ст. 20 или Ст.3 кп,Сгущенный Cu концентрат,+,5/3,Без изменений,0206.605-CPC01,"4,4","G 1/4""",2,10,P+F/ NBN8-18GM40-Z0,-,"2 wires, Normally open, DC 24V, inductive distance 8mm, -25~70 ℃, non-explosion proof, IP67, Cable Length: 2 m",Пневмо ЗРА-FL,0.1,НЕТ,Подача сгущенного продукта в питающий бак 0206.006-TK-101 ,Подача сгущенного продукта в питающий бак 0206.006-TK-101 ,,,,,
Сгущение Cu-концентрата,0206.005-BY-001,Поворотная заслонка/дисковый затвор,Запорная,Ручной,206.005-CW-003-100-LAA,100,10,углеродистая сталь.Ст. 20 или Ст.3 кп,Оборотная вода,-,,-,,,,,,,,,,,,Дренаж на пол зумпфа 0206.005-SU-004,Дренаж на пол зумпфа 0206.005-SU-004,,,,,
Сгущение Cu-концентрата,0206.005-BY-002,Поворотная заслонка/дисковый затвор,Запорная,Ручной,206.005-CW-004-200-LAA,200,10,углеродистая сталь.Ст. 20 или Ст.3 кп,Оборотная вода,+,,-,,,,,,P+F/ NBN4-12GM40-Z0+APL-320,-,"2 wires, Normally open, DC 24V, inductive distance 8mm, -25~70 ℃, non-explosion proof, IP67, Cable Length: 2 m",Ручная ЗРА,0.1,НЕТ,Слив из зумпфа 0206.005-SU-004 в насос 0206.005-PU-001,Слив из зумпфа 0206.005-SU-004 в насос 0206.005-PU-001,,,,,
Сгущение Cu-концентрата,0206.005-BY-003,Поворотная заслонка/дисковый затвор,Запорная,Пневмопривод,206.005-CW-004-200-LAA,200,10,углеродистая сталь.Ст. 20 или Ст.3 кп,Оборотная вода,+,5/2 МС,Нормально закрыт,0206.605-CPC03,"230,0","G 1/4""",2,10,-,Tissin/ TS800RN35S1M,"Smart Positioner, input signal: 4-20mA, -30~85℃, non-explosion proof, with 4-20mA feedback, without HART protocol, with mechanical type limit switch, NPT 1/4 air connection, NPT 1/2 cable entry, IP66",Пневмо ЗРА-НЗ,0.1,НЕТ,Слив из зумпфа 0206.005-SU-004 в насос 0206.005-PU-001,Слив из зумпфа 0206.005-SU-004 в насос 0206.005-PU-001,,,,,
Сгущение Cu-концентрата,0206.005-BY-004,Поворотная заслонка/дисковый затвор,Запорная,Пневмопривод,206.005-CW-009-080-LAA,80,10,углеродистая сталь.Ст. 20 или Ст.3 кп,Оборотная вода,+,5/2 МС,Нормально закрыт,0206.605-CPC03,"20,0","G 1/4""",2,10,-,Tissin/ TS800RN35S1M,"Smart Positioner, input signal: 4-20mA, -30~85℃, non-explosion proof, with 4-20mA feedback, without HART protocol, with mechanical type limit switch, NPT 1/4 air connection, NPT 1/2 cable entry, IP66",Пневмо ЗРА-НЗ,0.1,НЕТ,Дренаж всаса насоса 0206.005-PU-001,Дренаж всаса насоса 0206.005-PU-001,,,,,
Сгущение Cu-концентрата,0206.005-BY-005,Поворотная заслонка/дисковый затвор,Запорная,Пневмопривод,206.005-CW-006-150-LAA,150,10,углеродистая сталь.Ст. 20 или Ст.3 кп,Оборотная вода,+,5/2 МС,Нормально закрыт,0206.605-CPC03,"103,0","G 1/4""",2,10,-,Tissin/ TS800RN35S1M,"Smart Positioner, input signal: 4-20mA, -30~85℃, non-explosion proof, with 4-20mA feedback, without HART protocol, with mechanical type limit switch, NPT 1/4 air connection, NPT 1/2 cable entry, IP66",Пневмо ЗРА-НЗ,0.1,НЕТ,Нагнетание насоса 0206.005-PU-001 ,Нагнетание насоса 0206.005-PU-001 ,,,,,
Сгущение Cu-концентрата,0206.005-BY-006,Поворотная заслонка/дисковый затвор,Запорная,Ручной,206.005-CW-005-200-LAA,200,10,углеродистая сталь.Ст. 20 или Ст.3 кп,Оборотная вода,+,,-,,,,,,P+F/ NBN4-12GM40-Z0+APL-320,-,"2 wires, Normally open, DC 24V, inductive distance 8mm, -25~70 ℃, non-explosion proof, IP67, Cable Length: 2 m",Ручная ЗРА,0.1,НЕТ,Слив из зумпфа 0206.005-SU-004 в насос 0206.005-PU-002,Слив из зумпфа 0206.005-SU-004 в насос 0206.005-PU-002,,,,,
Сгущение Cu-концентрата,0206.005-BY-007,Поворотная заслонка/дисковый затвор,Запорная,Пневмопривод,206.005-CW-005-200-LAA,200,10,углеродистая сталь.Ст. 20 или Ст.3 кп,Оборотная вода,+,5/2 МС,Нормально закрыт,0206.605-CPC03,"230,0","G 1/4""",2,10,-,Tissin/ TS800RN35S1M,"Smart Positioner, input signal: 4-20mA, -30~85℃, non-explosion proof, with 4-20mA feedback, without HART protocol, with mechanical type limit switch, NPT 1/4 air connection, NPT 1/2 cable entry, IP66",Пневмо ЗРА-НЗ,0.1,НЕТ,Слив из зумпфа 0206.005-SU-004 в насос 0206.005-PU-002,Слив из зумпфа 0206.005-SU-004 в насос 0206.005-PU-002,,,,,
Сгущение Cu-концентрата,0206.005-BY-008,Поворотная заслонка/дисковый затвор,Запорная,Пневмопривод,206.005-CW-010-080-LAA,80,10,углеродистая сталь.Ст. 20 или Ст.3 кп,Оборотная вода,+,5/2 МС,Нормально закрыт,0206.605-CPC03,"20,0","G 1/4""",2,10,-,Tissin/ TS800RN35S1M,"Smart Positioner, input signal: 4-20mA, -30~85℃, non-explosion proof, with 4-20mA feedback, without HART protocol, with mechanical type limit switch, NPT 1/4 air connection, NPT 1/2 cable entry, IP66",Пневмо ЗРА-НЗ,0.1,НЕТ,Дренаж всаса насоса 0206.005-PU-002,Дренаж всаса насоса 0206.005-PU-002,,,,,
Сгущение Cu-концентрата,0206.005-BY-009,Поворотная заслонка/дисковый затвор,Запорная,Пневмопривод,206.005-CW-007-150-LAA,150,10,углеродистая сталь.Ст. 20 или Ст.3 кп,Оборотная вода,+,5/2 МС,Нормально закрыт,0206.605-CPC03,"103,0","G 1/4""",2,10,-,Tissin/ TS800RN35S1M,"Smart Positioner, input signal: 4-20mA, -30~85℃, non-explosion proof, with 4-20mA feedback, without HART protocol, with mechanical type limit switch, NPT 1/4 air connection, NPT 1/2 cable entry, IP66",Пневмо ЗРА-НЗ,0.1,НЕТ,Нагнетание насоса 0206.005-PU-002 ,Нагнетание насоса 0206.005-PU-002 ,,,,,
Сгущение Cu-концентрата,0206.005-BY-010,Поворотная заслонка/дисковый затвор,Регулирующая,Пневмопривод,,125,10,углеродистая сталь.Ст. 20 или Ст.3 кп,,+,Порт коллектора,Без изменений,0206.605-CPC03,"65,0","G 1/4""",1,10,-,Tissin/ TS800RN35S1M,"Smart Positioner, input signal: 4-20mA, -30~85℃, non-explosion proof, with 4-20mA feedback, without HART protocol, with mechanical type limit switch, NPT 1/4 air connection, NPT 1/2 cable entry, IP66",Пневмо ЗРА-CV,0.1,НЕТ,Оборотная вода в зумпф 0206.005-SU-004,Оборотная вода в зумпф 0206.005-SU-004,,,,,
Сгущение Cu-концентрата,0206.005-BY-011,Поворотная заслонка/дисковый затвор,Запорная,Ручной,-,125,10,углеродистая сталь.Ст. 20 или Ст.3 кп,Оборотная вода,-,,-,,,,,,,,,,,НЕТ,Подача оборотной воды в зумпф 0206.005-SU-004,Подача оборотной воды в зумпф  0206.005-SU-004,,,,,
Сгущение Cu-концентрата,0206.005-BY-012,Поворотная заслонка/дисковый затвор,Запорная,Ручной,-,125,10,углеродистая сталь.Ст. 20 или Ст.3 кп,Оборотная вода,-,,-,,,,,,,,,,,НЕТ,Подача оборотной воды в зумпф 0206.005-SU-004,Подача оборотной воды в зумпф  0206.005-SU-004,,,,,
Сгущение Cu-концентрата,0206.005-BY-013,Поворотная заслонка/дисковый затвор,Запорная,Ручной,-,125,10,углеродистая сталь.Ст. 20 или Ст.3 кп,Оборотная вода,-,,-,,,,,,,,,,,НЕТ,Подача оборотной воды в зумпф 0206.005-SU-004,Подача оборотной воды в зумпф  0206.005-SU-004,,,,,
Сгущение Cu-концентрата,0206.005-BY-014,Поворотная заслонка/дисковый затвор,Запорная,Ручной,206.005-CW-014-100-LAA,100,10,углеродистая сталь.Ст. 20 или Ст.3 кп,Оборотная вода,+,,-,,,,,,P+F/ NBN4-12GM40-Z0+APL-320,-,"2 wires, Normally open, DC 24V, inductive distance 8mm, -25~70 ℃, non-explosion proof, IP67, Cable Length: 2 m",Ручная ЗРА,0.1,НЕТ,Возврат слива в зумпф 0206.005-SU-004,Возврат слива в зумпф  0206.005-SU-004,,,,,
Сгущение Cu-концентрата,0206.005-BY-015,Поворотная заслонка/дисковый затвор,Запорная,Ручной,206.005-CW-012-032-LAA,32,10,углеродистая сталь.Ст. 20 или Ст.3 кп,Оборотная вода,+,,-,,,,,,P+F/ NBN4-12GM40-Z0+APL-320,-,"2 wires, Normally open, DC 24V, inductive distance 8mm, -25~70 ℃, non-explosion proof, IP67, Cable Length: 2 m",Ручная ЗРА,0.1,НЕТ,Труба пеногашения на сгуститель 0206.005-TH-101,Труба пеногашения на сгуститель  0206.005-TH-101,,,,,
Сгущение Cu-концентрата,0206.005-BY-016,Поворотная заслонка/дисковый затвор,Запорная,Ручной,206.005-CW-013-032-LAA,32,10,углеродистая сталь.Ст. 20 или Ст.3 кп,Оборотная вода,+,,-,,,,,,P+F/ NBN4-12GM40-Z0+APL-320,-,"2 wires, Normally open, DC 24V, inductive distance 8mm, -25~70 ℃, non-explosion proof, IP67, Cable Length: 2 m",Ручная ЗРА,0.1,НЕТ,Труба пеногашения на сгуститель 0206.005-TH-201,Труба пеногашения на сгуститель  0206.005-TH-201,,,,,
Сгущение Cu-концентрата,0206.005-BY-017,Поворотная заслонка/дисковый затвор,Запорная,Ручной,206.005-CW-015-050-LAA,50,10,углеродистая сталь.Ст. 20 или Ст.3 кп,Оборотная вода,-,,-,,,,,,,,,,,НЕТ,Отвод трубопровода для датчика давления,Отвод трубопровода для датчика давления,Замена позиции на 0206.005-BV-014,,,,
